model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k3,r5,5,D,-0.032312519300706666,-0.6259943246841431,0.0324286837130785,
blstm,k3,r4,0,train,0.14714290789330908,0.014507472515106201,0.01896664733067155,
blstm,k3,r4,0,G,-0.022970563293985613,-0.034882545471191406,0.02212241990491748,
blstm,k3,r4,0,F,0.0511095623461415,-0.013531804084777832,0.018832810688763857,
blstm,k3,r4,0,C,0.013029295177507727,-0.026912808418273926,0.02024357346817851,
blstm,k3,r4,0,E,-0.07837007808768272,-0.05840504169464111,0.020699470303952694,
blstm,k3,r4,0,D,0.0979047507009328,0.0027303695678710938,0.020205582957714796,
blstm,k3,r4,1,train,0.1445248466547857,0.012274861335754395,0.019420928321778774,
blstm,k3,r4,1,G,0.07849345087856821,0.0015487074851989746,0.019813585560768843,
blstm,k3,r4,1,F,0.0736199403811664,0.0017556548118591309,0.020582713652402163,
blstm,k3,r4,1,C,0.09409653125592943,-0.0019712448120117188,0.01907705282792449,
blstm,k3,r4,1,E,0.022285322873694002,-0.025256037712097168,0.02058949088677764,
blstm,k3,r4,1,D,-0.029348946502893325,-0.027783513069152832,0.020468682516366243,
blstm,k3,r4,2,train,0.14795834402458907,0.02176886796951294,0.019458157941699028,
blstm,k3,r4,2,G,0.011554473719399883,-0.019133806228637695,0.020632254891097546,
blstm,k3,r4,2,F,-0.07557037773119031,-0.06851279735565186,0.0208567981608212,
blstm,k3,r4,2,C,0.024842155505516716,-0.017209529876708984,0.019636015873402357,
blstm,k3,r4,2,E,-0.020299932186073733,-0.032364726066589355,0.02127099083736539,
blstm,k3,r4,2,D,0.01656560106521565,-0.03404104709625244,0.019989617634564638,
blstm,k3,r4,3,train,0.14629538020025745,0.01769965887069702,0.019411138724535704,
blstm,k3,r4,3,G,0.11023555248349376,-0.030552148818969727,0.02001090720295906,
blstm,k3,r4,3,F,0.05226752837857296,-0.040065884590148926,0.019958834629505873,
blstm,k3,r4,3,C,-0.027997854245884857,-0.06194710731506348,0.02268697414547205,
blstm,k3,r4,3,E,-0.003729671480598107,-0.06898152828216553,0.02069222880527377,
blstm,k3,r4,3,D,0.007207529322529771,-0.04399538040161133,0.02093093702569604,
blstm,k3,r4,4,train,0.1603371597308434,0.025217533111572266,0.01893677655607462,
blstm,k3,r4,4,G,0.0022769009039476096,-0.027222871780395508,0.01952417055144906,
blstm,k3,r4,4,F,-0.05366298424897337,-0.04438960552215576,0.020970679353922606,
blstm,k3,r4,4,C,0.020878348512093803,-0.10123932361602783,0.021161002572625875,
blstm,k3,r4,4,E,-0.019402650115717845,-0.028349637985229492,0.021464830730110407,
blstm,k3,r4,4,D,-0.05352789161950908,-0.03846108913421631,0.021046013571321964,
blstm,k3,r4,5,train,0.2005563334054571,0.019142210483551025,0.020146794617176056,
blstm,k3,r4,5,G,0.08706952977117544,-1.1609268188476562,0.04101015813648701,
blstm,k3,r4,5,F,0.05024207973066587,-0.3211641311645508,0.025361210573464632,
blstm,k3,r4,5,C,-0.13576483863992506,-0.6724238395690918,0.03268314804881811,
blstm,k3,r4,5,E,-0.020067346974747657,-0.7224873304367065,0.03526717843487859,
blstm,k3,r4,5,D,0.038341342481552076,-0.6068332195281982,0.03202080028131604,
blstm,k4,r5,0,train,0.05873251249656164,-0.025846123695373535,0.02074790233746171,
blstm,k4,r5,0,G,-0.0036802572234066466,-0.024975895881652832,0.021165041252970695,
